T,season,method,coverage_mean,coverage_std,width_mean
120,1,Pooled,0.764,0.13602940858505563,6.625036674283811
120,1,EnbPI-S,0.7105,0.13468388916273544,6.822090259071545
120,2,Pooled,0.7709999999999999,0.12984221193433207,6.5786888031522786
120,2,EnbPI-S,0.718,0.11694443124834976,6.926703091288435
120,3,Pooled,0.9150000000000001,0.08986100377805714,6.61389747066136
120,3,EnbPI-S,0.698,0.12122705968553392,3.9524682916690357
120,4,Pooled,0.912,0.0903105752390051,6.6499059594161665
120,4,EnbPI-S,0.6890000000000001,0.13667113813823312,3.950071001079387
120,5,Pooled,0.9155000000000001,0.09170468908403757,6.647456469182864
120,5,EnbPI-S,0.701,0.13892084076912292,4.026311399830837
120,6,Pooled,0.9230000000000002,0.09311820445004294,6.650116730357641
120,6,EnbPI-S,0.6940000000000001,0.13402984742213206,3.8986918871836935
120,7,Pooled,0.924,0.09013323471394999,6.652901578148214
120,7,EnbPI-S,0.6894999999999999,0.13579304105881126,3.808417124690675
120,8,Pooled,0.752,0.13818827736099762,6.618522737762006
120,8,EnbPI-S,0.711,0.1252158136977914,6.886484264336385
120,9,Pooled,0.7414999999999999,0.13974172605202786,6.576242638396908
120,9,EnbPI-S,0.7134999999999999,0.1310257608258773,7.037685847908579
120,10,Pooled,0.9105000000000001,0.09560203972719411,6.612712273249858
120,10,EnbPI-S,0.6985000000000001,0.1320899314860902,4.0933715415628065
120,11,Pooled,0.9220000000000002,0.08494704232638119,6.6572629771065746
120,11,EnbPI-S,0.7045,0.13464676007984747,3.9611438667974763
120,12,Pooled,0.9255000000000001,0.08774821935515272,6.659085521971708
120,12,EnbPI-S,0.6809999999999999,0.13615799645999496,3.7816151860074365
240,1,Pooled,0.7645000000000001,0.14032016961221222,6.446184630855564
240,1,EnbPI-S,0.7895000000000002,0.12704231578493838,7.669299387425144
240,2,Pooled,0.7775,0.14192867927237257,6.423492017187378
240,2,EnbPI-S,0.7980000000000002,0.12327205684987982,7.572103127084921
240,3,Pooled,0.9255000000000001,0.0799984374847409,6.445812941967761
240,3,EnbPI-S,0.785,0.12835497652993438,4.104844975132591
240,4,Pooled,0.93,0.08,6.465016727448355
240,4,EnbPI-S,0.786,0.11918053532351668,4.1526286110774615
240,5,Pooled,0.9320000000000002,0.07467261881037787,6.464773472912888
240,5,EnbPI-S,0.794,0.13843409984537772,4.2620581896195695
240,6,Pooled,0.9350000000000002,0.0739932429347437,6.466726036045272
240,6,EnbPI-S,0.774,0.13313151392514097,4.080833411924696
240,7,Pooled,0.935,0.07729812416870153,6.468452930806642
240,7,EnbPI-S,0.7785,0.13449070599859309,4.089675972679522
240,8,Pooled,0.7735,0.13056703259245805,6.448694746419679
240,8,EnbPI-S,0.7955000000000001,0.11674652029075643,7.593799759487385
240,9,Pooled,0.7645000000000001,0.13187020133449406,6.428180209405371
240,9,EnbPI-S,0.799,0.1232842244571462,7.843132349822628
240,10,Pooled,0.929,0.09032718306246464,6.449111252916773
240,10,EnbPI-S,0.77,0.1356465996625054,4.125077467986971
240,11,Pooled,0.9355000000000001,0.07409284715814339,6.469065323365367
240,11,EnbPI-S,0.7730000000000001,0.12833939379629314,4.0476128017623205
240,12,Pooled,0.9465,0.06919356906534016,6.469735096194206
240,12,EnbPI-S,0.769,0.13615799645999496,3.9879707801012687
480,1,Pooled,0.7830000000000001,0.1204616121426241,6.374353487793233
480,1,EnbPI-S,0.8315,0.11250666646914752,8.200502378375251
480,2,Pooled,0.7865000000000001,0.12028196040969737,6.363889570268576
480,2,EnbPI-S,0.8450000000000002,0.10476163419878483,8.1354786848005
480,3,Pooled,0.955,0.06763874629234341,6.374837024449387
480,3,EnbPI-S,0.8440000000000001,0.12232742946698422,4.265240755200082
480,4,Pooled,0.9435000000000001,0.06969756093293364,6.38446510928113
480,4,EnbPI-S,0.8425000000000001,0.11019868420267095,4.2875936688931855
480,5,Pooled,0.9445000000000001,0.0704964538115216,6.383341071837958
480,5,EnbPI-S,0.8455000000000001,0.10899426590422086,4.253839530800439
480,6,Pooled,0.9430000000000001,0.08093824806604105,6.383365848484184
480,6,EnbPI-S,0.8445000000000001,0.12357082989120047,4.200653169608381
480,7,Pooled,0.9395000000000002,0.07273066753440394,6.383411708126358
480,7,EnbPI-S,0.8465000000000003,0.10671340122027788,4.26484436261744
480,8,Pooled,0.7935000000000001,0.13117831375650474,6.372577385031346
480,8,EnbPI-S,0.8440000000000001,0.11385956261992226,8.143129334276322
480,9,Pooled,0.7775,0.13207478941872292,6.3624166103191335
480,9,EnbPI-S,0.8430000000000001,0.11336225121265016,8.235490090703534
480,10,Pooled,0.9520000000000001,0.06630233781700309,6.371223051621149
480,10,EnbPI-S,0.8410000000000001,0.11188833719382911,4.23197989570174
480,11,Pooled,0.941,0.07428997240543302,6.382025927863349
480,11,EnbPI-S,0.835,0.10805091392487157,4.198031715644873
480,12,Pooled,0.9365000000000001,0.07292290449508987,6.380911689346051
480,12,EnbPI-S,0.8284999999999999,0.11152466094994416,4.183966241068131
