Ts,T,method,coverage_mean,coverage_std,width_mean,width_std
5,60,Pooled,0.8358749999999999,0.03849781288881515,7.422958237224073,2.2197705624020503
5,60,EnbPI-S,0.5161666666666666,0.05500404025564344,4.131618528948418,1.1654145931814621
10,120,Pooled,0.8645833333333335,0.037125444254730626,6.63155442532289,0.9017864267789198
10,120,EnbPI-S,0.7005000000000001,0.05305029060555025,4.931648132178595,0.6947871405015117
20,240,Pooled,0.8791249999999999,0.031124721105399312,6.456789651604073,0.5668436347354557
20,240,EnbPI-S,0.7845833333333334,0.04419613796601589,5.294571178201234,0.48151168266300504
30,360,Pooled,0.8896666666666667,0.027223866163513383,6.416940985780095,0.46837196719199664
30,360,EnbPI-S,0.8220416666666667,0.03476006548868655,5.45232046946202,0.3961772573988203
50,600,Pooled,0.8873333333333333,0.03176476034853718,6.387491237349332,0.37581385953911534
50,600,EnbPI-S,0.8450416666666666,0.0371099857405883,5.630591255271513,0.30793913076298335
