sigma_high,season,method,coverage_mean,coverage_std,width_mean
1.0,1,Pooled,0.8795000000000001,0.10212614748437346,4.740936740542802
1.0,1,EnbPI-S,0.7859999999999999,0.12650691680694778,3.923980904461333
1.0,2,Pooled,0.885,0.10185774393731682,4.740519847267631
1.0,2,EnbPI-S,0.7900000000000001,0.1228820572744451,3.873700224343218
1.0,3,Pooled,0.8775,0.10316855140981675,4.740105212865658
1.0,3,EnbPI-S,0.785,0.12874393189583733,3.8691960222390946
1.0,4,Pooled,0.8805000000000001,0.09364694335641714,4.7393283088335645
1.0,4,EnbPI-S,0.782,0.12073110618229256,3.9834123109177413
1.0,5,Pooled,0.879,0.10226925246622272,4.738801445440983
1.0,5,EnbPI-S,0.802,0.12804686642007296,4.105000266839229
1.0,6,Pooled,0.8730000000000001,0.0998548947222919,4.73919462599942
1.0,6,EnbPI-S,0.79,0.128062484748657,3.9357645616244263
1.0,7,Pooled,0.8800000000000001,0.10723805294763608,4.739745619578196
1.0,7,EnbPI-S,0.7885,0.12968326800323937,3.9250500887595594
1.0,8,Pooled,0.8805000000000001,0.10425809321103087,4.740533855941822
1.0,8,EnbPI-S,0.7980000000000002,0.12921300244170478,3.8776508672870396
1.0,9,Pooled,0.88,0.10723805294763608,4.7403429939839326
1.0,9,EnbPI-S,0.7995,0.12103615162421516,4.006155109648685
1.0,10,Pooled,0.8895000000000001,0.09455025118951296,4.740924643977811
1.0,10,EnbPI-S,0.7915000000000001,0.12560951397087725,3.9149868099196556
1.0,11,Pooled,0.879,0.10797684937059425,4.740205752570812
1.0,11,EnbPI-S,0.7805,0.13367778424255844,3.923158836989292
1.0,12,Pooled,0.89,0.0938083151964686,4.7387368997401005
1.0,12,EnbPI-S,0.7765000000000001,0.13600643367135248,3.8721087420259317
1.5,1,Pooled,0.8080000000000002,0.1282029640842988,5.561386557136196
1.5,1,EnbPI-S,0.789,0.12758918449461146,5.7826651242935485
1.5,2,Pooled,0.825,0.12479983974348685,5.5512686884165525
1.5,2,EnbPI-S,0.7945,0.1281395723420365,5.719678311752417
1.5,3,Pooled,0.9115000000000001,0.08495734223714863,5.561794085255192
1.5,3,EnbPI-S,0.785,0.1299038105676658,3.9567189094799526
1.5,4,Pooled,0.9085000000000001,0.08647398452713971,5.570148268576829
1.5,4,EnbPI-S,0.7760000000000001,0.11842297074469972,4.052649612244951
1.5,5,Pooled,0.9115000000000001,0.08727972273099863,5.570063656831253
1.5,5,EnbPI-S,0.7979999999999999,0.12921300244170478,4.177490128880096
1.5,6,Pooled,0.9130000000000001,0.08204267182387467,5.570601093472544
1.5,6,EnbPI-S,0.7810000000000001,0.12782409788455387,4.004094532138005
1.5,7,Pooled,0.911,0.09043782394551518,5.572362574352534
1.5,7,EnbPI-S,0.7805000000000001,0.12755293018978436,3.998485353888083
1.5,8,Pooled,0.8225,0.11934718262280013,5.562791954783674
1.5,8,EnbPI-S,0.7959999999999999,0.11909659944767527,5.7212138183342764
1.5,9,Pooled,0.8175,0.12059747095192339,5.552937335788004
1.5,9,EnbPI-S,0.8035,0.12057259224218415,5.911958709141317
1.5,10,Pooled,0.91,0.09000000000000001,5.562956913873984
1.5,10,EnbPI-S,0.7810000000000001,0.13129737240325873,4.000176862489601
1.5,11,Pooled,0.9105000000000001,0.08567234092751289,5.571884915598966
1.5,11,EnbPI-S,0.777,0.1302727907124124,3.9941372297714532
1.5,12,Pooled,0.9195000000000002,0.0875771088812596,5.571601494468314
1.5,12,EnbPI-S,0.7715000000000001,0.14155475972216547,3.9206171710917403
2.0,1,Pooled,0.7630000000000001,0.14011067054296758,6.445926184437767
2.0,1,EnbPI-S,0.79,0.12688577540449522,7.660582661098844
2.0,2,Pooled,0.7765,0.14105938465766824,6.423291128683997
2.0,2,EnbPI-S,0.7975,0.12305994474238968,7.584772719882851
2.0,3,Pooled,0.925,0.07984359711335655,6.44591943380699
2.0,3,EnbPI-S,0.7835,0.1271917843258754,4.099523997900847
2.0,4,Pooled,0.9300000000000002,0.07999999999999999,6.465194353807099
2.0,4,EnbPI-S,0.7859999999999999,0.12001666550942,4.137337224989285
2.0,5,Pooled,0.9320000000000002,0.07467261881037786,6.465121648311758
2.0,5,EnbPI-S,0.7964999999999999,0.13906023874566015,4.268481112767212
2.0,6,Pooled,0.9345000000000002,0.07389012112589882,6.467027958534911
2.0,6,EnbPI-S,0.7745000000000001,0.13341570372336234,4.0844096665444125
2.0,7,Pooled,0.9345000000000002,0.07719941709624496,6.46868514621495
2.0,7,EnbPI-S,0.7794999999999999,0.13464676007984747,4.0923975592937385
2.0,8,Pooled,0.7755,0.12786614094434853,6.448791762152089
2.0,8,EnbPI-S,0.797,0.11658044432922704,7.586490619763762
2.0,9,Pooled,0.7665000000000001,0.13239240914795683,6.428496960310918
2.0,9,EnbPI-S,0.8005,0.12389410801164033,7.8336571917638445
2.0,10,Pooled,0.93,0.08888194417315587,6.449111679685268
2.0,10,EnbPI-S,0.7725,0.1348842096021621,4.118066133925145
2.0,11,Pooled,0.9350000000000002,0.0739932429347437,6.468648802214042
2.0,11,EnbPI-S,0.7715000000000001,0.1266402384710326,4.062597403642311
2.0,12,Pooled,0.9470000000000002,0.06849087530467105,6.469160155824384
2.0,12,EnbPI-S,0.7680000000000001,0.1351887569289695,3.9900320541268273
3.0,1,Pooled,0.7015,0.1576316909761486,8.374425160445284
3.0,1,EnbPI-S,0.7864999999999999,0.1227507637450782,11.44058683942894
3.0,2,Pooled,0.7184999999999999,0.15429760205524906,8.327330548822985
3.0,2,EnbPI-S,0.7970000000000002,0.1240604691269544,11.350234974480635
3.0,3,Pooled,0.9580000000000001,0.06954135460285484,8.377279705183877
3.0,3,EnbPI-S,0.7715000000000001,0.13797735321421412,4.444950651539408
3.0,4,Pooled,0.96,0.06403124237432849,8.420329733988204
3.0,4,EnbPI-S,0.787,0.12137133104650374,4.338405208605337
3.0,5,Pooled,0.9584999999999999,0.06578563673021641,8.421348413956743
3.0,5,EnbPI-S,0.8015000000000001,0.14438749945892132,4.461033851856964
3.0,6,Pooled,0.9600000000000002,0.0547722557505166,8.422690266420572
3.0,6,EnbPI-S,0.7695000000000001,0.14601284190097802,4.2827507518527685
3.0,7,Pooled,0.9645000000000001,0.06074331238910172,8.42370627004749
3.0,7,EnbPI-S,0.7795000000000001,0.1342749045801188,4.329681125980403
3.0,8,Pooled,0.7269999999999999,0.1370072990756332,8.38231434987686
3.0,8,EnbPI-S,0.8015000000000001,0.11682358494756101,11.349390118038174
3.0,9,Pooled,0.7140000000000001,0.1438888459888396,8.337042028712355
3.0,9,EnbPI-S,0.8030000000000002,0.1240604691269544,11.6876462638528
3.0,10,Pooled,0.955,0.06383572667401852,8.377959298783312
3.0,10,EnbPI-S,0.7715000000000001,0.135416948717655,4.4009978963818615
3.0,11,Pooled,0.9655000000000001,0.05796335048977068,8.424323072056486
3.0,11,EnbPI-S,0.7735000000000001,0.13056703259245805,4.19695008335276
3.0,12,Pooled,0.9660000000000001,0.05868560300448483,8.42617553545913
3.0,12,EnbPI-S,0.7730000000000001,0.12637642185154638,4.165898793266347
