season,method,coverage_mean,coverage_std,width_mean
1,Pooled,0.88,0.10246950765959598,4.739763365136003
1,EnbPI-S,0.7859999999999999,0.12650691680694778,3.9175253716229257
2,Pooled,0.8855000000000001,0.10217509481277715,4.739250549695296
2,EnbPI-S,0.7895,0.12263665846719733,3.8691479655754146
3,Pooled,0.879,0.10275699489572473,4.738821007263854
3,EnbPI-S,0.7859999999999999,0.12885650934275694,3.8644513763332826
4,Pooled,0.8805000000000001,0.09364694335641714,4.738004525207857
4,EnbPI-S,0.7825,0.12101136310280951,3.9858213443964132
5,Pooled,0.88,0.10246950765959599,4.737353348219413
5,EnbPI-S,0.8025,0.12823318603232162,4.0946497155799
6,Pooled,0.8730000000000001,0.0998548947222919,4.73783076292116
6,EnbPI-S,0.789,0.12798046725965648,3.929885964826477
7,Pooled,0.879,0.1070467187726929,4.73832944856654
7,EnbPI-S,0.7880000000000001,0.12944496900227526,3.931054347941207
8,Pooled,0.8810000000000001,0.10411051820061219,4.739082548936037
8,EnbPI-S,0.7975,0.1290106584744067,3.8659556986735297
9,Pooled,0.8785000000000001,0.10764641192348215,4.738981616473671
9,EnbPI-S,0.7994999999999999,0.12103615162421516,4.011033990122624
10,Pooled,0.8905000000000001,0.09465595596685925,4.739537965988118
10,EnbPI-S,0.7920000000000001,0.12584116973391501,3.908648301881633
11,Pooled,0.879,0.10797684937059425,4.738857003309208
11,EnbPI-S,0.7805000000000001,0.13367778424255844,3.9290117011918677
12,Pooled,0.8905000000000001,0.0941262450116863,4.73721645552615
12,EnbPI-S,0.7765000000000001,0.13600643367135248,3.869801362396223
