model,season,method,coverage_mean,coverage_std,width_mean
ridge,1,Pooled,0.7635,0.14041990599626536,6.44044912134005
ridge,1,EnbPI-S,0.7905,0.12672706893162172,7.645079400743273
ridge,2,Pooled,0.7780000000000001,0.1396996778808026,6.4181203322965965
ridge,2,EnbPI-S,0.7965000000000001,0.12303556396424574,7.556879179353823
ridge,3,Pooled,0.9255,0.079370964464343,6.440628830971561
ridge,3,EnbPI-S,0.784,0.12705904139414873,4.092010754724197
ridge,4,Pooled,0.9305000000000001,0.08012334241655174,6.45971527949936
ridge,4,EnbPI-S,0.7865000000000001,0.12028196040969738,4.130667555852259
ridge,5,Pooled,0.9325,0.07479137650825794,6.45927029581318
ridge,5,EnbPI-S,0.7965000000000001,0.1387002162939914,4.269719152413392
ridge,6,Pooled,0.934,0.07378346698278686,6.461069043870258
ridge,6,EnbPI-S,0.7725,0.1330178559442303,4.078811596515103
ridge,7,Pooled,0.9335000000000002,0.0776385857676452,6.462648916067296
ridge,7,EnbPI-S,0.779,0.134011193562329,4.106003558054725
ridge,8,Pooled,0.7755,0.12786614094434853,6.443157018703051
ridge,8,EnbPI-S,0.796,0.11612062693595829,7.540152522395129
ridge,9,Pooled,0.7655,0.13288999209872807,6.423019526646289
ridge,9,EnbPI-S,0.8015000000000001,0.12388603633985554,7.8398902201989085
ridge,10,Pooled,0.9305000000000001,0.08899297725101682,6.443463903800395
ridge,10,EnbPI-S,0.7744999999999999,0.13527656855494227,4.1111641327030375
ridge,11,Pooled,0.935,0.0739932429347437,6.4630289504953655
ridge,11,EnbPI-S,0.7725,0.12764697411219744,4.073031987692097
ridge,12,Pooled,0.9465,0.06846714540566153,6.463358520835689
ridge,12,EnbPI-S,0.7675,0.13488420960216213,3.992083437885526
rf,1,Pooled,0.759,0.15943337166352597,6.848358606694367
rf,1,EnbPI-S,0.7920000000000001,0.12383860464330176,7.745524081288477
rf,2,Pooled,0.759,0.1477125587077822,6.828718175412936
rf,2,EnbPI-S,0.786,0.12650691680694778,8.221414746509891
rf,3,Pooled,0.904,0.11825396399275585,6.8499188261296196
rf,3,EnbPI-S,0.7669999999999999,0.1371531990148243,4.613741762455842
rf,4,Pooled,0.9270000000000002,0.08228608630868282,6.869966094758281
rf,4,EnbPI-S,0.78,0.13784048752090225,4.421535451311061
rf,5,Pooled,0.9380000000000002,0.07586830695356263,6.874549205558647
rf,5,EnbPI-S,0.7940000000000002,0.1340298474221321,4.66074865077809
rf,6,Pooled,0.9170000000000001,0.08608716512930367,6.874309996317318
rf,6,EnbPI-S,0.7680000000000001,0.12319090875547593,4.4357625508293115
rf,7,Pooled,0.936,0.0806473806146238,6.873628415656227
rf,7,EnbPI-S,0.785,0.11258330249197704,4.2729145725086966
rf,8,Pooled,0.79,0.1445683229480096,6.854932377594923
rf,8,EnbPI-S,0.7829999999999999,0.13042622435691376,8.128253060162839
rf,9,Pooled,0.76,0.14966629547095767,6.833653138862937
rf,9,EnbPI-S,0.7830000000000001,0.12170045193013872,8.263946415636326
rf,10,Pooled,0.911,0.09787236586493656,6.85136578145606
rf,10,EnbPI-S,0.7780000000000001,0.15071828024496567,4.695857357627053
rf,11,Pooled,0.9330000000000002,0.07880989785553588,6.874857115716408
rf,11,EnbPI-S,0.7589999999999999,0.1312211873136347,4.311332446679549
rf,12,Pooled,0.935,0.08874119674649424,6.87948552601845
rf,12,EnbPI-S,0.7850000000000001,0.13219304066402288,4.271562594058446
