application,method,season,month,coverage,width
food,pool,1,Jan,0.8,1.8252396000032676
food,pool,2,Feb,1.0,1.823559080501306
food,pool,3,Mar,0.8,1.8256594642058892
food,pool,4,Apr,1.0,1.8181340279092608
food,pool,5,May,0.7,1.8198307735525305
food,pool,6,Jun,0.9,1.8156538501273445
food,pool,7,Jul,0.8,1.8163319909131979
food,pool,8,Aug,0.9,1.8149786652877722
food,pool,9,Sep,0.9,1.8172270350886506
food,pool,10,Oct,0.9,1.8099139011108734
food,pool,11,Nov,0.8,1.8082269373852902
food,pool,12,Dec,0.8,1.810443355883163
food,norm,1,Jan,0.8,1.7865753401641076
food,norm,2,Feb,0.7,1.2248744989456921
food,norm,3,Mar,0.8,1.4726529318165844
food,norm,4,Apr,1.0,1.9107687393991994
food,norm,5,May,0.8,2.0540799753330754
food,norm,6,Jun,0.9,2.792883758571753
food,norm,7,Jul,0.8,1.9576483563647635
food,norm,8,Aug,1.0,2.3017185466130687
food,norm,9,Sep,0.9,1.5733065392692802
food,norm,10,Oct,0.9,1.9374898290376041
food,norm,11,Nov,0.9,2.3687306506832804
food,norm,12,Dec,0.9,2.241209912670135
food,strat,1,Jan,0.8,1.3604329465759597
food,strat,2,Feb,0.7,1.0463906743502482
food,strat,3,Mar,0.8,1.4623722087909552
food,strat,4,Apr,0.9,1.2627016715507338
food,strat,5,May,0.8,1.569938432020534
food,strat,6,Jun,0.9,1.8637286086541405
food,strat,7,Jul,0.6,1.5004246989480645
food,strat,8,Aug,0.7,1.393787369896479
food,strat,9,Sep,0.9,1.499439929028838
food,strat,10,Oct,0.9,1.3446135063815767
food,strat,11,Nov,0.7,1.5370901813277638
food,strat,12,Dec,0.8,1.4495719724544645
food,pool_f,1,Jan,0.8,1.9713108645012603
food,pool_f,2,Feb,0.9,1.9797056836242768
food,pool_f,3,Mar,0.8,1.9737262642778048
food,pool_f,4,Apr,1.0,1.9632992364173607
food,pool_f,5,May,0.7,1.968661444843082
food,pool_f,6,Jun,0.9,1.9678909922731826
food,pool_f,7,Jul,0.8,1.9619061773163629
food,pool_f,8,Aug,0.9,1.9647440206618108
food,pool_f,9,Sep,0.9,1.9627248218436733
food,pool_f,10,Oct,1.0,1.9582845359590135
food,pool_f,11,Nov,0.8,1.9582845359590135
food,pool_f,12,Dec,0.8,1.9582845359590135
food,norm_f,1,Jan,0.8,1.9421216754174324
food,norm_f,2,Feb,0.7,1.3302055226960707
food,norm_f,3,Mar,0.8,1.6022315241641913
food,norm_f,4,Apr,1.0,2.079866369024173
food,norm_f,5,May,0.8,2.2305386063640062
food,norm_f,6,Jun,1.0,3.016792900834319
food,norm_f,7,Jul,0.8,2.115048689280019
food,norm_f,8,Aug,1.0,2.4995766265561032
food,norm_f,9,Sep,0.9,1.7157050014431057
food,norm_f,10,Oct,0.9,2.1089931941374815
food,norm_f,11,Nov,0.9,2.5756720333510863
food,norm_f,12,Dec,0.9,2.4407388006119413
food,strat_f,1,Jan,0.9,2.3671538661124183
food,strat_f,2,Feb,0.9,1.989737096044672
food,strat_f,3,Mar,0.9,1.922387551340126
food,strat_f,4,Apr,0.9,1.5942834817207674
food,strat_f,5,May,0.9,1.9673077941191348
food,strat_f,6,Jun,0.9,2.5094709138195563
food,strat_f,7,Jul,0.9,2.506213116719924
food,strat_f,8,Aug,0.9,1.707942397118958
food,strat_f,9,Sep,0.9,2.045742869483744
food,strat_f,10,Oct,0.9,1.8147530553765385
food,strat_f,11,Nov,0.9,4.060064114707068
food,strat_f,12,Dec,0.9,2.680228750405499
food,hyb_cv,1,Jan,0.8,1.9421216754174324
food,hyb_cv,2,Feb,0.9,1.989737096044672
food,hyb_cv,3,Mar,0.8,1.6662627295993784
food,hyb_cv,4,Apr,1.0,1.9341915028331513
food,hyb_cv,5,May,0.8,2.2305386063640062
food,hyb_cv,6,Jun,0.9,2.5602031125210325
food,hyb_cv,7,Jul,0.8,2.2323980175119904
food,hyb_cv,8,Aug,1.0,2.4995766265561032
food,hyb_cv,9,Sep,0.9,2.045742869483744
food,hyb_cv,10,Oct,0.9,1.8736010831287266
food,hyb_cv,11,Nov,0.9,4.060064114707068
food,hyb_cv,12,Dec,0.9,2.608381765467432
food,hyb_50,1,Jan,0.8,2.1546377707649254
food,hyb_50,2,Feb,0.8,1.6599713093703716
food,hyb_50,3,Mar,0.9,1.7623095377521583
food,hyb_50,4,Apr,1.0,1.8370749253724703
food,hyb_50,5,May,0.8,2.0989232002415705
food,hyb_50,6,Jun,0.9,2.7631319073269376
food,hyb_50,7,Jul,0.8,2.3106309029999714
food,hyb_50,8,Aug,1.0,2.1037595118375303
food,hyb_50,9,Sep,0.9,1.8807239354634249
food,hyb_50,10,Oct,0.9,1.96187312475701
food,hyb_50,11,Nov,0.9,3.3178680740290774
food,hyb_50,12,Dec,0.9,2.5604837755087204
exports,pool,1,Jan,1.0,10.22843389668061
exports,pool,2,Feb,1.0,10.186900501378085
exports,pool,3,Mar,0.9,10.161542901072263
exports,pool,4,Apr,0.7,10.156578048810797
exports,pool,5,May,0.9,10.167345503843364
exports,pool,6,Jun,0.9,10.178232456476739
exports,pool,7,Jul,1.0,10.181965713943537
exports,pool,8,Aug,1.0,10.18650957943937
exports,pool,9,Sep,1.0,10.15582544957567
exports,pool,10,Oct,0.9,10.15582544957567
exports,pool,11,Nov,0.9,10.132319535607786
exports,pool,12,Dec,1.0,10.125439459833322
exports,norm,1,Jan,1.0,12.71176128954986
exports,norm,2,Feb,1.0,10.773049429824406
exports,norm,3,Mar,0.9,10.143396622372931
exports,norm,4,Apr,0.7,14.727478222954684
exports,norm,5,May,0.9,9.645295834800395
exports,norm,6,Jun,0.7,7.893284132521276
exports,norm,7,Jul,1.0,9.697183564442131
exports,norm,8,Aug,1.0,11.891802923806083
exports,norm,9,Sep,1.0,8.848185985848364
exports,norm,10,Oct,0.9,7.105939755623494
exports,norm,11,Nov,0.9,13.542465489867817
exports,norm,12,Dec,1.0,8.059117674386753
exports,strat,1,Jan,0.7,8.7298171889553
exports,strat,2,Feb,1.0,7.830382207767094
exports,strat,3,Mar,0.8,9.522308518906557
exports,strat,4,Apr,0.9,13.796849976495727
exports,strat,5,May,0.8,9.535753309907573
exports,strat,6,Jun,0.8,8.66438595730288
exports,strat,7,Jul,1.0,8.374462531318835
exports,strat,8,Aug,1.0,7.815751601909208
exports,strat,9,Sep,0.7,6.002826026536231
exports,strat,10,Oct,0.8,6.772294714926838
exports,strat,11,Nov,0.9,8.619151532741409
exports,strat,12,Dec,1.0,6.273482719627592
exports,pool_f,1,Jan,1.0,10.834730758506812
exports,pool_f,2,Feb,1.0,10.811818569236767
exports,pool_f,3,Mar,0.9,10.788215281582286
exports,pool_f,4,Apr,0.7,10.780307080938355
exports,pool_f,5,May,0.9,10.788084853518733
exports,pool_f,6,Jun,0.8,10.800383906294734
exports,pool_f,7,Jul,1.0,10.796759945903624
exports,pool_f,8,Aug,1.0,10.809932251950118
