T,method,season,coverage_mean,coverage_se,width_mean
240,Pooled,1,0.7645000000000001,0.009922134347004178,6.446184630855564
240,Pooled,2,0.7775,0.010035873155834523,6.423492017187378
240,Pooled,3,0.9255000000000001,0.005656743762978839,6.445812941967761
240,Pooled,4,0.93,0.00565685424949238,6.465016727448355
240,Pooled,5,0.9320000000000002,0.005280151512977634,6.464773472912888
240,Pooled,6,0.9350000000000002,0.005232112384114087,6.466726036045272
240,Pooled,7,0.935,0.005465802777268862,6.468452930806642
240,Pooled,8,0.7735,0.009232483414553206,6.448694746419679
240,Pooled,9,0.7645000000000001,0.009324631360005605,6.428180209405371
240,Pooled,10,0.929,0.00638709636689474,6.449111252916773
240,Pooled,11,0.9355000000000001,0.005239155466294161,6.469065323365367
240,Pooled,12,0.9465,0.004892724190060174,6.469735096194206
240,Pooled,0,0.8790416666666667,0.0021921399203872816,6.453770448793771
240,EnbPI-N,1,0.8670000000000002,0.009876993469674869,9.678298042953948
240,EnbPI-N,2,0.8795000000000002,0.008868413048567371,9.926522531045508
240,EnbPI-N,3,0.8625,0.010402824135781592,5.285118952657967
240,EnbPI-N,4,0.8655000000000002,0.008648627058672375,5.25924055163307
240,EnbPI-N,5,0.86,0.010173494974687902,5.099286608724605
240,EnbPI-N,6,0.8665,0.009467774289662802,5.318999198213822
240,EnbPI-N,7,0.87,0.009643650760992956,5.359043488372241
240,EnbPI-N,8,0.8715,0.00928378963570373,9.865159778912444
240,EnbPI-N,9,0.8650000000000001,0.00981707695803593,9.857128663509691
240,EnbPI-N,10,0.8780000000000001,0.009438220171197534,5.556081833973524
240,EnbPI-N,11,0.8560000000000001,0.009737556161583871,5.174446366169893
240,EnbPI-N,12,0.8740000000000001,0.010030952098380293,5.320527997920945
240,EnbPI-N,0,0.8679583333333334,0.0023511946579227432,6.808321167840639
240,EnbPI-S,1,0.7895000000000002,0.008983248298917269,7.669299387425144
240,EnbPI-S,2,0.7980000000000002,0.008716650732936362,7.572103127084921
240,EnbPI-S,3,0.785,0.009076067430335675,4.104844975132591
240,EnbPI-S,4,0.786,0.00842733647127015,4.1526286110774615
240,EnbPI-S,5,0.794,0.009788769074812216,4.2620581896195695
240,EnbPI-S,6,0.774,0.009413819628609845,4.080833411924696
240,EnbPI-S,7,0.7785,0.009509929021817146,4.089675972679522
240,EnbPI-S,8,0.7955000000000001,0.008255225617752673,7.593799759487385
240,EnbPI-S,9,0.799,0.008717511112697248,7.843132349822628
240,EnbPI-S,10,0.77,0.00959166304662544,4.125077467986971
240,EnbPI-S,11,0.7730000000000001,0.00907496556467296,4.0476128017623205
240,EnbPI-S,12,0.769,0.009627824260963636,3.9879707801012696
240,EnbPI-S,0,0.7842916666666667,0.003100278605312038,5.29408640284204
240,Pooled-C,1,0.7745000000000001,0.009192320164137019,6.684023167982026
240,Pooled-C,2,0.786,0.00987522151650281,6.660705183645996
240,Pooled-C,3,0.9365000000000001,0.005058532395863447,6.686287406503304
240,Pooled-C,4,0.934,0.005451605268175603,6.707077285177591
240,Pooled-C,5,0.9370000000000002,0.0048636406117228675,6.707347813123053
240,Pooled-C,6,0.9395000000000002,0.004944567726303281,6.70814623445572
240,Pooled-C,7,0.9430000000000001,0.005362368879515842,6.709330840247783
240,Pooled-C,8,0.782,0.009213034245024818,6.688876145647612
240,Pooled-C,9,0.7795000000000001,0.00895258342602849,6.664931512384382
240,Pooled-C,10,0.935,0.006031169040907408,6.687164208475829
240,Pooled-C,11,0.9410000000000001,0.005009490992106881,6.7093252802899706
240,Pooled-C,12,0.9490000000000001,0.004742889414692271,6.7107141369931105
240,Pooled-C,0,0.8864166666666666,0.0020626557180273963,6.693660767910532
240,EnbPI-N-C,1,0.8755000000000002,0.00939408058300545,10.028479512639372
240,EnbPI-N-C,2,0.8855000000000001,0.00870050285903062,10.283546884744233
240,EnbPI-N-C,3,0.8690000000000001,0.010059572555531374,5.475496886789676
240,EnbPI-N-C,4,0.8765000000000002,0.008275793013361317,5.449199590721309
240,EnbPI-N-C,5,0.8715,0.009496775768649062,5.283582053959947
240,EnbPI-N-C,6,0.8715,0.008954817139394864,5.512998251969289
240,EnbPI-N-C,7,0.8735,0.009525688951461726,5.554983711603553
240,EnbPI-N-C,8,0.885,0.008710625695092173,10.22968210047459
240,EnbPI-N-C,9,0.8785000000000001,0.008912841858801264,10.22054601196175
240,EnbPI-N-C,10,0.8865000000000001,0.008765771500558293,5.75874854199805
240,EnbPI-N-C,11,0.8630000000000001,0.009754742436374217,5.360727827955948
240,EnbPI-N-C,12,0.8785000000000001,0.009946795966541183,5.514094389967011
240,EnbPI-N-C,0,0.8762083333333333,0.002224701524924186,7.056007147065393
240,EnbPI-S-C,1,0.8495000000000001,0.0074497483178963845,10.443451251331682
240,EnbPI-S-C,2,0.8140000000000001,0.009084051959340613,8.53559966381728
240,EnbPI-S-C,3,0.7965000000000001,0.008642265328025981,4.5922449863225525
240,EnbPI-S-C,4,0.8085,0.008147929184768362,4.642561936594444
240,EnbPI-S-C,5,0.816,0.0091498633869583,4.804303666712017
240,EnbPI-S-C,6,0.785,0.009480242612929271,4.587600133367675
240,EnbPI-S-C,7,0.7980000000000002,0.009326306878931231,4.505214254838798
240,EnbPI-S-C,8,0.813,0.008755284118747948,8.463578849163401
240,EnbPI-S-C,9,0.8265,0.008350972997202184,8.752898340653639
240,EnbPI-S-C,10,0.8,0.00919238815542512,4.634326682561092
240,EnbPI-S-C,11,0.7915000000000001,0.009374899999466663,4.524918380683586
240,EnbPI-S-C,12,0.7980000000000002,0.009164060235506966,4.3556215311775714
240,EnbPI-S-C,0,0.8080416666666668,0.002915700732909481,6.0701933064353115
480,Pooled,1,0.7830000000000001,0.008517922281871326,6.374353487793233
