Ts,T,method,coverage_mean,coverage_se,width_mean,cov_high,cov_low,spread,min_season_cov
5,60,Pooled,0.8358749999999999,0.0027222064554532064,7.422958237224073,0.7370000000000001,0.8853125000000001,0.1635000000000001,0.7295
5,60,EnbPI-N,0.834375,0.0022851707175467945,12.731959573441445,0.825375,0.838875,0.1120000000000001,0.7525
5,60,EnbPI-S,0.5161666666666666,0.003889372985742332,4.131618528948418,0.52,0.51425,0.11699999999999999,0.4375
5,60,Pooled-C,0.8694166666666666,0.002491729374907672,8.557570729158085,0.7837500000000001,0.91225,0.14500000000000013,0.777
5,60,EnbPI-N-C,0.8679583333333335,0.0021843012326600015,16.90396110994665,0.85725,0.8733125,0.10750000000000004,0.7875
5,60,EnbPI-S-C,0.5725416666666667,0.0038109844437566993,4.939719953693075,0.574875,0.571375,0.12400000000000005,0.4855
10,120,Pooled,0.8645833333333335,0.0026251653387083175,6.63155442532289,0.7575000000000001,0.9181250000000001,0.1844999999999999,0.7415
10,120,EnbPI-N,0.8494166666666666,0.0027363994489921326,8.119760279164854,0.85475,0.8467500000000001,0.05300000000000016,0.8165
10,120,EnbPI-S,0.7005000000000001,0.0037512220231101577,4.931648132178595,0.7132499999999999,0.694125,0.03599999999999992,0.6814999999999999
10,120,Pooled-C,0.8835833333333334,0.0024593288944570043,7.132207800565651,0.7835,0.933625,0.16600000000000026,0.7759999999999999
10,120,EnbPI-N-C,0.8660416666666667,0.002553549748770218,8.81386472027501,0.869125,0.8645,0.04250000000000009,0.8375
10,120,EnbPI-S-C,0.7155833333333333,0.00391503068669682,5.634966966128961,0.7388750000000001,0.7039375000000001,0.08750000000000002,0.6940000000000001
20,240,Pooled,0.8791249999999999,0.0022008501356167907,6.456789651604073,0.769875,0.9337500000000001,0.1835000000000001,0.764
20,240,EnbPI-N,0.8682916666666667,0.0023853557124672202,6.810184729430251,0.8708750000000001,0.8670000000000001,0.02400000000000002,0.8555000000000001
20,240,EnbPI-S,0.7845833333333334,0.003125138885802606,5.294571178201234,0.795875,0.7789375000000001,0.03049999999999997,0.769
20,240,Pooled-C,0.8864583333333335,0.0020669669640697107,6.696222293582801,0.7802500000000001,0.9395625000000001,0.17599999999999993,0.774
20,240,EnbPI-N-C,0.8765,0.0022428590385190654,7.057862066196346,0.8811250000000002,0.8741875000000001,0.025500000000000078,0.8625
20,240,EnbPI-S-C,0.8080833333333333,0.0029219654249228277,6.071280726854759,0.8258750000000001,0.7991875,0.06500000000000006,0.785
30,360,Pooled,0.8896666666666667,0.0019250180374335312,6.416940985780095,0.780375,0.9443125,0.18300000000000016,0.7659999999999999
30,360,EnbPI-N,0.879875,0.002206585393140774,6.4608696044578595,0.880625,0.8795000000000001,0.023499999999999854,0.8675
30,360,EnbPI-S,0.8220416666666667,0.002457907802153874,5.45232046946202,0.8230000000000001,0.8215625000000002,0.029000000000000026,0.8065000000000001
30,360,Pooled-C,0.8942083333333334,0.0019159396266004254,6.574219284007478,0.787625,0.9475000000000001,0.17600000000000016,0.7769999999999999
30,360,EnbPI-N-C,0.8850833333333334,0.002097112763883823,6.610173299740884,0.8856250000000001,0.8848125,0.018999999999999906,0.8750000000000001
30,360,EnbPI-S-C,0.8447916666666666,0.0024905637888058825,6.361372588544332,0.8542500000000002,0.8400625000000002,0.04849999999999999,0.8295000000000001
50,600,Pooled,0.8873333333333333,0.00224610774452162,6.387491237349332,0.77525,0.9433750000000001,0.1855,0.7655000000000001
50,600,EnbPI-N,0.8841249999999999,0.0022287558032578524,6.33880652506913,0.8803750000000001,0.8860000000000001,0.026000000000000023,0.8695
50,600,EnbPI-S,0.8450416666666666,0.0026240722566906066,5.630591255271513,0.8418750000000002,0.8466250000000001,0.019000000000000017,0.836
50,600,Pooled-C,0.8906666666666666,0.002196556648737089,6.478759922470308,0.780875,0.9455625000000001,0.18000000000000005,0.7725
50,600,EnbPI-N-C,0.8872916666666666,0.0022015915171378483,6.424752169112388,0.8832500000000001,0.8893125000000002,0.024499999999999855,0.8745000000000002
50,600,EnbPI-S-C,0.8645833333333335,0.002470485501093077,6.14901615588319,0.8651250000000001,0.8643125,0.02450000000000019,0.855
