T,method,season,coverage_mean,coverage_se,width_mean
240,Pooled,1,0.941,0.005440128674948782,3.0783890375850183
240,Pooled,2,0.9355000000000001,0.005518038600807355,3.0818427200121885
240,Pooled,3,0.8445000000000001,0.008564388477877449,3.078110362929381
240,Pooled,4,0.8475,0.007966727684564096,3.07385848680824
240,Pooled,5,0.8560000000000001,0.008051086883148139,3.0738183348953454
240,Pooled,6,0.8490000000000001,0.007809929577147286,3.0740418552119477
240,Pooled,7,0.8480000000000001,0.007904429138147802,3.0743825941895624
240,Pooled,8,0.9410000000000001,0.0054858909941777004,3.0783712318683185
240,Pooled,9,0.9430000000000001,0.005362368879515842,3.08225387598178
240,Pooled,10,0.8550000000000001,0.008359126748650244,3.0777900408326957
240,Pooled,11,0.8460000000000001,0.008361817984146749,3.073667946205291
240,Pooled,12,0.8620000000000002,0.0074013512279853325,3.0737417581541195
240,Pooled,0,0.8807083333333332,0.002231075895790589,3.0766890203894905
240,EnbPI-N,1,0.812,0.011801694793545543,1.9498945337730378
240,EnbPI-N,2,0.806,0.011611201488218178,1.9017541195500638
240,EnbPI-N,3,0.8815000000000001,0.009567588515399269,3.7271468067997127
240,EnbPI-N,4,0.8970000000000001,0.00916269610977031,3.9225984112149934
240,EnbPI-N,5,0.8975,0.008585962380537198,3.787260723383394
240,EnbPI-N,6,0.8975,0.00810671018354548,3.8511810238853923
240,EnbPI-N,7,0.8865000000000001,0.00976415638957099,3.8318308728651265
240,EnbPI-N,8,0.828,0.010657391800998969,1.89519764981196
240,EnbPI-N,9,0.8195,0.011633948169043904,1.9784386076473437
240,EnbPI-N,10,0.9,0.008660254037844387,3.91378800161602
240,EnbPI-N,11,0.8995000000000001,0.009205908428829825,3.988035263351453
240,EnbPI-N,12,0.9109999999999999,0.007442781738033166,3.9271786843133105
240,EnbPI-N,0,0.8696666666666667,0.0023629372023441977,3.2228587248509837
240,EnbPI-S,1,0.789,0.008768979416100829,1.7405406752283799
240,EnbPI-S,2,0.801,0.009512885997424756,1.8201508617316153
240,EnbPI-S,3,0.7765,0.009668958061756189,2.7248189219409857
240,EnbPI-S,4,0.7879999999999999,0.00856037382361308,2.837507764944866
240,EnbPI-S,5,0.7835,0.009104325894869978,2.739438156125037
240,EnbPI-S,6,0.7775,0.008928535714214285,2.794006564804505
240,EnbPI-S,7,0.7785,0.00862778940401306,2.792503061737275
240,EnbPI-S,8,0.8125000000000001,0.008483439750478576,1.7773502918835071
240,EnbPI-S,9,0.7935,0.009029880951596207,1.861723118923015
240,EnbPI-S,10,0.8015000000000001,0.009232483414553206,2.8027615398127432
240,EnbPI-S,11,0.7795000000000002,0.009441861574922607,2.8443265160081586
240,EnbPI-S,12,0.7910000000000003,0.008578752823108965,2.7928772159019686
240,EnbPI-S,0,0.7893333333333333,0.0030811704125398697,2.4606670574201712
240,Pooled-C,1,0.9440000000000001,0.005414794548272353,3.165181302787438
240,Pooled-C,2,0.9395,0.005607918508680381,3.168489099614247
240,Pooled-C,3,0.8560000000000002,0.008204876598706407,3.1653855030933733
240,Pooled-C,4,0.86,0.007905694150420948,3.1612269373765547
240,Pooled-C,5,0.8660000000000001,0.007982480817390041,3.161796420771177
240,Pooled-C,6,0.8630000000000001,0.007625942564693233,3.1619885636923253
240,Pooled-C,7,0.8580000000000001,0.007885429601486528,3.1620434421273798
240,Pooled-C,8,0.9445,0.005371103238627981,3.166052025479901
240,Pooled-C,9,0.9465,0.005332799452445216,3.1699110857124593
240,Pooled-C,10,0.8635,0.007879641489306477,3.1650920033667442
240,Pooled-C,11,0.8580000000000001,0.008495881355103777,3.16096339688949
240,Pooled-C,12,0.8675,0.007776165507497895,3.1608216994201843
240,Pooled-C,0,0.8888750000000001,0.002233953194451486,3.1640792900276065
240,EnbPI-N-C,1,0.8215,0.01168069989341392,2.0068978305122833
240,EnbPI-N-C,2,0.8160000000000001,0.011234767465328333,1.956740880746021
240,EnbPI-N-C,3,0.8975,0.009094984881790624,3.836504245499371
240,EnbPI-N-C,4,0.9045000000000002,0.008581884991072765,4.037555640457361
240,EnbPI-N-C,5,0.904,0.008210968274204937,3.9000803310702237
240,EnbPI-N-C,6,0.9045000000000001,0.007723260321910689,3.9647345272669905
240,EnbPI-N-C,7,0.8925,0.009485185817895187,3.9452001689630953
240,EnbPI-N-C,8,0.8365,0.010153263022299776,1.9500348344608014
240,EnbPI-N-C,9,0.8255000000000001,0.011401699434733403,2.0358127983153453
240,EnbPI-N-C,10,0.9095,0.008018650135777218,4.028035235632186
240,EnbPI-N-C,11,0.9065000000000001,0.008805609007899454,4.104405866203698
240,EnbPI-N-C,12,0.9159999999999999,0.007156814934033155,4.043220720314007
240,EnbPI-N-C,0,0.877875,0.0022217341043778297,3.317435256620115
240,EnbPI-S-C,1,0.8330000000000001,0.008891287870719293,3.439912464797264
240,EnbPI-S-C,2,0.8345000000000001,0.008876866001016349,2.360901362299776
240,EnbPI-S-C,3,0.7975,0.009149795079672552,2.891482917859953
