T,method,season,coverage_mean,coverage_se,width_mean
240,Pooled,1,0.88,0.0072456883730947184,4.739763365136003
240,Pooled,2,0.8855000000000001,0.0072248702410493155,4.739250549695296
240,Pooled,3,0.879,0.007266016790511841,4.738821007263854
240,Pooled,4,0.8805000000000001,0.006621838868471506,4.738004525207857
240,Pooled,5,0.88,0.007245688373094719,4.737353348219413
240,Pooled,6,0.8730000000000001,0.00706080731928014,4.73783076292116
240,Pooled,7,0.879,0.0075693460747940445,4.73832944856654
240,Pooled,8,0.8810000000000001,0.007361725341249836,4.739082548936037
240,Pooled,9,0.8785000000000001,0.007611750784149465,4.738981616473671
240,Pooled,10,0.8905000000000001,0.006693186834386141,4.739537965988118
240,Pooled,11,0.879,0.007635116240110559,4.738857003309208
240,Pooled,12,0.8905000000000001,0.006655730613538982,4.73721645552615
240,Pooled,0,0.881375,0.0022039874690861767,4.738585716436942
240,EnbPI-N,1,0.865,0.009293815147720553,5.030346245197575
240,EnbPI-N,2,0.8885000000000001,0.008431414472079995,5.181710139422783
240,EnbPI-N,3,0.8605000000000002,0.01104304079499845,4.9601510023669
240,EnbPI-N,4,0.8750000000000001,0.00865303414993839,5.120566367910674
240,EnbPI-N,5,0.8655000000000002,0.009181435073015547,4.944016378863115
240,EnbPI-N,6,0.8775,0.00831978064614687,5.071272048464009
240,EnbPI-N,7,0.8715,0.009883761935619453,5.105949994129759
240,EnbPI-N,8,0.8645000000000002,0.010146366344657579,4.985024991071835
240,EnbPI-N,9,0.8630000000000001,0.010278861804694136,5.139087121161906
240,EnbPI-N,10,0.8734999999999999,0.009178167028334143,5.11059133864764
240,EnbPI-N,11,0.8675,0.009190688222325901,5.015302227356553
240,EnbPI-N,12,0.8710000000000001,0.009208420059923419,5.084151048073073
240,EnbPI-N,0,0.87025,0.0022036191821637424,5.062347408555485
240,EnbPI-S,1,0.7859999999999999,0.00894538987411952,3.9175253716229257
240,EnbPI-S,2,0.7895,0.008671721282421387,3.8691479655754146
240,EnbPI-S,3,0.7859999999999999,0.009111531155629115,3.8644513763332835
240,EnbPI-S,4,0.7825,0.008556795545062418,3.9858213443964132
240,EnbPI-S,5,0.8025,0.009067455541661069,4.0946497155799
240,EnbPI-S,6,0.789,0.009049585625872603,3.929885964826477
240,EnbPI-S,7,0.7880000000000001,0.009153141537199127,3.931054347941207
240,EnbPI-S,8,0.7975,0.009122431145259471,3.8659556986735297
240,EnbPI-S,9,0.7994999999999999,0.008558548358220569,4.011033990122624
240,EnbPI-S,10,0.7920000000000001,0.008898314447129864,3.908648301881633
240,EnbPI-S,11,0.7805000000000001,0.009452446773190527,3.9290117011918677
240,EnbPI-S,12,0.7765000000000001,0.009617107153401173,3.869801362396223
240,EnbPI-S,0,0.789125,0.0029322189526212244,3.931415595045125
240,Pooled-C,1,0.8905000000000001,0.006655730613538982,4.900962955207231
240,Pooled-C,2,0.8915000000000001,0.007133635118226891,4.9017560906022535
240,Pooled-C,3,0.8925000000000002,0.00681679910221799,4.9014212157277335
240,Pooled-C,4,0.8880000000000001,0.0065023072828035424,4.900347303389049
240,Pooled-C,5,0.8860000000000001,0.007212489168102784,4.899882101624474
240,Pooled-C,6,0.884,0.006907966415668217,4.900110084998704
240,Pooled-C,7,0.8880000000000001,0.007435052118176442,4.899916170198652
240,Pooled-C,8,0.8859999999999999,0.007177743377970542,4.901090568985038
240,Pooled-C,9,0.8865000000000001,0.0076051791563381335,4.900966715249684
240,Pooled-C,10,0.8965000000000001,0.006533662831827182,4.901960265386101
240,Pooled-C,11,0.8859999999999999,0.007451174404078863,4.901646617823934
240,Pooled-C,12,0.895,0.006623820649745885,4.900449600756749
240,Pooled-C,0,0.8892083333333335,0.0021975345244412228,4.9008758074958
240,EnbPI-N-C,1,0.8770000000000002,0.008964095046350188,5.214715981828698
240,EnbPI-N-C,2,0.8980000000000001,0.008153526844255804,5.373037088147166
240,EnbPI-N-C,3,0.8685,0.010620204800285162,5.141462352769083
240,EnbPI-N-C,4,0.8835000000000001,0.00844918635135952,5.310392290481031
240,EnbPI-N-C,5,0.8740000000000001,0.009280086206496145,5.125456877139916
240,EnbPI-N-C,6,0.8820000000000001,0.008359425817602545,5.259167868269668
240,EnbPI-N-C,7,0.8785000000000001,0.0101704842559241,5.295808187815783
240,EnbPI-N-C,8,0.8745,0.00951308309645196,5.169492540266565
240,EnbPI-N-C,9,0.875,0.00989317946870469,5.329242336711817
240,EnbPI-N-C,10,0.8825,0.0085859623805372,5.294563829880745
240,EnbPI-N-C,11,0.8755000000000002,0.009233024964766422,5.1960632803138855
