dgp,T,lambda,coverage,coverage_se,cov_high,cov_low,spread,worst,width,w_high,w_low
scale,480,0.0,0.8841666666666669,0.0021521952616908265,0.8823750000000001,0.8850625000000001,0.019499999999999962,0.8760000000000001,6.401103046392439,9.391348175880603,4.905980481648358
scale,480,0.25,0.8785,0.0022618208004466967,0.8768750000000001,0.8793125,0.018999999999999906,0.8670000000000002,6.188342906204537,9.088173662420179,4.7384275280967145
scale,480,0.5,0.8717083333333335,0.0023010395446647824,0.8710000000000001,0.8720625,0.015499999999999958,0.8635,5.975582766016632,8.784999148959752,4.570874574545071
scale,480,0.75,0.858875,0.0024152851654733348,0.8587500000000001,0.8589375000000001,0.017000000000000015,0.8480000000000001,5.762822625828728,8.481824635499326,4.403321620993427
scale,480,1.0,0.8409166666666666,0.0025645757175624803,0.840875,0.8409375000000001,0.01800000000000035,0.8284999999999999,5.550062485640824,8.178650122038903,4.235768667441784
shape,480,0.0,0.8869999999999999,0.0021871150454930858,0.8411250000000001,0.9099375000000001,0.09149999999999991,0.8315,3.019330101993416,1.7173673467275405,3.6703114796263536
shape,480,0.25,0.8837083333333332,0.0023328105813231674,0.8522500000000002,0.8994375000000001,0.06799999999999984,0.8470000000000002,2.90672561232074,1.7392043983131347,3.490486219324544
shape,480,0.5,0.8755,0.002402718367923206,0.857875,0.8843125000000001,0.042500000000000204,0.8534999999999999,2.794121122648066,1.7610414498987284,3.3106609590227345
shape,480,0.75,0.8615833333333334,0.0025067893919425216,0.8600000000000001,0.8623750000000001,0.018500000000000072,0.853,2.6815166329753906,1.7828785014843225,3.130835698720925
shape,480,1.0,0.8418333333333333,0.002700925767213901,0.8563750000000001,0.8345625000000001,0.033500000000000085,0.8275,2.5689121433027164,1.8047155530699166,2.9510104384191154
