dgp,Ts,method,coverage,coverage_se,spread,worst,width,score,lam_mean
homosk,20,hyb_50,0.9094583333333331,0.0018471801895802,0.015,0.903,6.151311610528985,8.848494689753068,
homosk,20,hyb_cv,0.9044583333333333,0.0019657461652286,0.0164999999999998,0.8995000000000002,6.855624905719367,9.639644926785978,0.8253333333333334
homosk,20,norm,0.8655000000000002,0.0023732010730937,0.0190000000000002,0.8554999999999999,4.944759124518386,8.605413599630308,
homosk,20,norm_f,0.890125,0.0021164677564018,0.0184999999999999,0.8775,5.409608661990319,8.565240800432067,
homosk,20,pool,0.8817499999999999,0.0022074605193399,0.0159999999999999,0.8745000000000002,4.7453255952387785,8.12829652269667,
homosk,20,pool_f,0.90275,0.0021433926248927,0.0110000000000001,0.897,5.167090172944473,8.092271777062733,
homosk,20,strat,0.7894166666666667,0.0029378457243361,0.0270000000000002,0.7759999999999999,3.935166917690214,9.223708078905542,
homosk,20,strat_f,0.9010833333333336,0.0019349759544874,0.0215,0.894,6.8930145590676535,9.74955808771588,
homosk,35,hyb_50,0.934,0.0016753523675798,0.0204999999999999,0.9225,6.774238955092554,8.887758196621158,
homosk,35,hyb_cv,0.9316666666666664,0.0017027347284752,0.0170000000000002,0.9225,7.006072073455697,9.131260673003432,0.6255833333333334
homosk,35,norm,0.8825416666666668,0.0023060890865272,0.0205,0.8725,4.79314632863155,8.092289695267985,
homosk,35,norm_f,0.8967083333333333,0.0021537253738838,0.0205,0.8860000000000001,5.070296109487531,8.05234981011695,
homosk,35,pool,0.8896250000000001,0.0023180283018835,0.0219999999999999,0.8780000000000001,4.679338645850714,7.807088825572414,
homosk,35,pool_f,0.9039166666666668,0.0020504996003684,0.0164999999999998,0.8930000000000001,4.93069630481026,7.789498140369394,
homosk,35,strat,0.8327500000000001,0.002523851498977,0.0154999999999999,0.8245,4.116150703294039,8.378343726954647,
homosk,35,strat_f,0.9432916666666666,0.0015123306838195,0.0159999999999999,0.9365,8.478181800697577,10.313547824533533,
homosk,50,hyb_50,0.9165,0.0019328663229054,0.031,0.901,5.518032648236247,8.194642933088451,
homosk,50,hyb_cv,0.910875,0.0019554033933067,0.0315,0.8955000000000001,5.451292787726761,8.231151609866277,0.51325
homosk,50,norm,0.8841666666666668,0.0022935598240871,0.027,0.8710000000000001,4.736921852333766,8.090509284697,
homosk,50,norm_f,0.8947916666666668,0.0021436578778392,0.0265,0.8830000000000001,4.934782314215215,8.065211417250701,
homosk,50,pool,0.8903750000000001,0.0022072304636001,0.0244999999999998,0.8755000000000002,4.662571522933601,7.929638273759002,
homosk,50,pool_f,0.8994583333333334,0.0021049524110482,0.0184999999999999,0.889,4.8447721290591055,7.9005960467773955,
homosk,50,strat,0.8471666666666667,0.0024384364298095,0.024,0.8345,4.2133365498433655,8.355374664963058,
homosk,50,strat_f,0.91975,0.0019115057328364,0.0304999999999999,0.905,6.101282982257277,8.624350348221876,
mixed,20,hyb_50,0.914,0.0022413103806082,0.058,0.8785000000000001,4.681379098048088,6.41478967835397,
mixed,20,hyb_cv,0.9082083333333332,0.0023522134227384,0.0325,0.889,5.166700719675975,6.826063748680756,0.7880416666666668
mixed,20,norm,0.8679166666666667,0.002692421204872,0.1050000000000001,0.8035,3.852300593056217,6.733612083314013,
mixed,20,norm_f,0.8904166666666667,0.0024085712108587,0.1155000000000001,0.8140000000000001,4.261660668842828,6.668064038399202,
mixed,20,pool,0.8820833333333333,0.0027818546471334,0.0404999999999999,0.8580000000000001,3.526397144089265,6.2070205838912536,
mixed,20,pool_f,0.9024583333333334,0.0024049987728109,0.058,0.8675,3.865755423813092,6.100902151804302,
mixed,20,strat,0.7895833333333333,0.0034799774504377,0.042,0.772,3.0504038526096133,6.884420111378902,
mixed,20,strat_f,0.8982083333333333,0.0023796573487,0.0274999999999999,0.8830000000000001,5.101097527253348,6.826318416044781,
mixed,35,hyb_50,0.9385833333333332,0.0017661064363294,0.0390000000000001,0.915,4.95649525035154,6.250498300144008,
mixed,35,hyb_cv,0.93725,0.001742952077495,0.0275000000000001,0.921,5.227863883033041,6.480930693708294,0.6426666666666666
mixed,35,norm,0.8832916666666667,0.0027166522877942,0.0975,0.8205000000000001,3.633841068326965,6.360362676058636,
mixed,35,norm_f,0.8987916666666667,0.0021861285383323,0.1060000000000002,0.8294999999999999,3.9263041453004592,6.261079218096156,
mixed,35,pool,0.8910416666666667,0.0028969197602319,0.0284999999999999,0.8745000000000002,3.443386729101693,6.012805325854766,
mixed,35,pool_f,0.9050416666666666,0.0023190766092228,0.0379999999999999,0.8815000000000001,3.689654503162168,5.922525066849921,
mixed,35,strat,0.8290833333333333,0.003055044780541,0.0304999999999998,0.8155000000000001,3.142925003440912,6.3543209910569685,
mixed,35,strat_f,0.9427083333333336,0.0016307989478575,0.0179999999999999,0.9330000000000002,5.986686355402622,6.992615198092031,
mixed,50,hyb_50,0.920875,0.0019755427348509,0.0464999999999999,0.8900000000000001,4.184692323746332,5.677071977447812,
mixed,50,hyb_cv,0.9160416666666664,0.0021521448442322,0.0434999999999999,0.8905000000000001,4.151411701333514,5.744120220971531,0.5857916666666667
mixed,50,norm,0.8864583333333332,0.0021845714523804,0.0970000000000002,0.8225,3.52142673733561,5.9973834003140665,
mixed,50,norm_f,0.8971666666666667,0.0021290321222982,0.1140000000000001,0.8225,3.761759040342101,5.919174626172828,
mixed,50,pool,0.8940416666666667,0.0020911333151348,0.0344999999999999,0.875,3.386508850838478,5.70849473556106,
mixed,50,pool_f,0.902,0.002203406453653,0.045,0.8765000000000001,3.5684585754487457,5.645646625536467,
mixed,50,strat,0.8487083333333334,0.0023094743720162,0.0384999999999999,0.8270000000000002,3.154040037465104,5.932530436286142,
mixed,50,strat_f,0.9212916666666666,0.0019182036409967,0.0145,0.914,4.607625607150564,5.885304434640963,
scale,20,hyb_50,0.9083333333333334,0.0020446406910642,0.0185,0.9,8.240709088953771,11.84162010997681,
scale,20,hyb_cv,0.9029166666666668,0.002121115731035,0.024,0.8895000000000001,9.180186663858626,12.83349200398159,0.8283749999999999
scale,20,norm,0.8623333333333334,0.0026841613629255,0.0205000000000001,0.8515,6.629277551017875,11.60074923252666,
scale,20,norm_f,0.884875,0.0022905887616505,0.0274999999999998,0.8710000000000002,7.260116683846369,11.521657541119588,
scale,20,pool,0.8797916666666665,0.0021877480018147,0.1805000000000001,0.7659999999999999,6.463971854332945,11.631538535968854,
scale,20,pool_f,0.902625,0.0019108403292501,0.1545000000000002,0.8025,7.110164788707221,11.555194199522882,
scale,20,strat,0.785,0.0030782615945439,0.032,0.769,5.298985409126848,12.352849235330892,
scale,20,strat_f,0.898125,0.0021412268517267,0.0289999999999999,0.8845000000000002,9.221301494061176,13.004284557134149,
scale,35,hyb_50,0.9335833333333332,0.00168006076279,0.02,0.924,9.008410980315777,11.919097506372504,
scale,35,hyb_cv,0.932125,0.0015990421394975,0.0189999999999999,0.9230000000000002,9.338886787567992,12.323577997341708,0.6241666666666668
scale,35,norm,0.8818333333333334,0.0022498148071933,0.0249999999999999,0.8675,6.384144412655655,10.855553076602792,
scale,35,norm_f,0.8961250000000001,0.0021171238843456,0.0169999999999999,0.8880000000000001,6.738715048768114,10.816150597473232,
scale,35,pool,0.8913333333333334,0.0020647840887931,0.1725,0.7805000000000001,6.397933277957248,11.227716489428696,
scale,35,pool_f,0.905,0.0018773133876781,0.1530000000000001,0.8059999999999999,6.79311140667116,11.207708945080633,
scale,35,strat,0.8322499999999999,0.0025531230875145,0.0200000000000002,0.825,5.517572545065159,11.281495525156751,
scale,35,strat_f,0.9435416666666666,0.0015348243430076,0.0189999999999999,0.9350000000000002,11.278106911863434,13.828059524124836,
scale,50,hyb_50,0.9134166666666668,0.002066423036715,0.022,0.9035,7.369836799545637,10.998749008607817,
scale,50,hyb_cv,0.9090833333333336,0.0020566541733818,0.0209999999999999,0.8995000000000002,7.292298419697824,11.05112907050162,0.5152916666666667
scale,50,norm,0.8839583333333332,0.002296538382363,0.0255,0.8719999999999999,6.329164020282437,10.894451822919557,
scale,50,norm_f,0.893375,0.0022587003853002,0.0260000000000002,0.8809999999999999,6.591161089284533,10.85929190118166,
scale,50,pool,0.8877083333333334,0.00221730684678,0.1829999999999999,0.7665000000000001,6.401835923075395,11.483237301445977,
scale,50,pool_f,0.8977083333333333,0.0021204506039728,0.172,0.784,6.693070321335674,11.437755487182626,
scale,50,strat,0.8456666666666667,0.0026319088974439,0.0160000000000001,0.8384999999999999,5.640975677329025,11.24529550839749,
scale,50,strat_f,0.918875,0.001955651976395,0.0169999999999999,0.9115000000000002,8.148512509806743,11.562694757065696,
shape,20,hyb_50,0.9127083333333332,0.0022545767495129,0.053,0.8775,3.650009398139868,4.761990541300571,
shape,20,hyb_cv,0.9082083333333332,0.0021996507772068,0.0294999999999999,0.8880000000000001,3.876690109795176,4.967993659889502,0.7852083333333334
shape,20,norm,0.867125,0.002686900772989,0.0975,0.804,3.1806458968962046,4.928491597061299,
shape,20,norm_f,0.8884583333333333,0.002503939604237,0.1109999999999999,0.8155000000000001,3.490914626526384,4.950490358233159,
shape,20,pool,0.8815000000000001,0.0021907000403219,0.0989999999999999,0.8455000000000001,3.0803699295242097,4.630941706109351,
shape,20,pool_f,0.9031666666666668,0.0020160467366716,0.083,0.87,3.3099947970123145,4.598209725879274,
shape,20,strat,0.78975,0.0031039345550804,0.0365,0.777,2.4616634083185445,5.129374979003383,
shape,20,strat_f,0.89975,0.0023481005917313,0.0210000000000001,0.8865000000000001,3.809104169753352,4.987317020743547,
shape,35,hyb_50,0.93775,0.0017249295476756,0.0325,0.916,3.8425449885934806,4.649309550634174,
shape,35,hyb_cv,0.9359583333333332,0.0018004412075007,0.0224999999999999,0.924,3.987314250569515,4.79067976020532,0.649875
shape,35,norm,0.8822083333333333,0.0024626921103856,0.0834999999999999,0.8290000000000001,3.039015464820153,4.645594796167928,
shape,35,norm_f,0.8993333333333333,0.0022832116755911,0.0959999999999999,0.8380000000000001,3.266217780118473,4.629917027467069,
shape,35,pool,0.8899583333333334,0.0022763102911656,0.1039999999999999,0.8490000000000001,3.067667877968779,4.5378842860742585,
shape,35,pool_f,0.9039583333333334,0.0019929890136007,0.0854999999999999,0.8705000000000002,3.209898835105521,4.501733954916371,
shape,35,strat,0.8307083333333333,0.002875046799136,0.0309999999999999,0.8150000000000002,2.5592158562332195,4.730241617851305,
shape,35,strat_f,0.9442916666666666,0.0016282846077663,0.0144999999999998,0.9345000000000002,4.418872197068488,5.093776103603893,
shape,50,hyb_50,0.9193333333333332,0.0020537567204191,0.0404999999999999,0.8935000000000001,3.36013870329571,4.3152738428768975,
shape,50,hyb_cv,0.9140833333333334,0.0020475171278621,0.0394999999999998,0.8915000000000001,3.323069326673976,4.344566877303541,0.5875833333333333
shape,50,norm,0.8870416666666666,0.0021760194769093,0.0845,0.8325,2.979770866379208,4.47846690495295,
shape,50,norm_f,0.8967916666666668,0.0021696113803321,0.104,0.826,3.1643912204368023,4.466213537724707,
shape,50,pool,0.8913750000000001,0.002106848538431,0.1014999999999999,0.8475000000000001,3.0498711756728936,4.414775932225651,
shape,50,pool_f,0.902625,0.001986567303863,0.084,0.87,3.160908518332397,4.376995293938559,
shape,50,strat,0.8489166666666667,0.0023298411366919,0.0359999999999999,0.8305000000000001,2.5854946198233324,4.487180187369412,
shape,50,strat_f,0.919375,0.0019346417088615,0.0145,0.913,3.555886186154619,4.436042695186581,
