dist,n,m,coverage,width,score
symmetric,10,1,0.8190510700000004,2.9164458299616225,5.529434288315632
symmetric,10,5,0.8207550066666683,2.9117992993549233,5.509469056038192
symmetric,10,21,0.8162790333333335,2.893367778821273,5.538671383761345
symmetric,10,41,0.8151958099999987,2.8950417591312476,5.5551954855099845
symmetric,10,201,0.8179080066666676,2.935476325304997,5.560354597953344
symmetric,20,1,0.9042919800000004,3.953592790486687,5.5422174356913825
symmetric,20,5,0.8453782666666668,2.656201270746777,5.000234440806615
symmetric,20,21,0.8415213533333341,2.6287672769007315,5.017094778484799
symmetric,20,41,0.8433850133333325,2.6389692253589048,5.006574688641994
symmetric,20,201,0.8436358966666683,2.6342305698010855,4.998783068697655
symmetric,35,1,0.9437665033333331,4.8981161592709865,5.972270582627029
symmetric,35,5,0.8814982916666653,3.0058435876802547,4.920549501416249
symmetric,35,21,0.8798729999999991,2.9785729637099534,4.913639169016028
symmetric,35,41,0.8808069566666666,2.97486662317083,4.900304719175298
symmetric,35,201,0.8807838816666663,3.0007469130034745,4.92393483867873
symmetric,50,1,0.9220333433333328,3.5411255804117325,4.954210661481307
symmetric,50,5,0.8803602933333344,2.9802986229927155,4.907885268739453
symmetric,50,21,0.8796834750000008,2.8049075377066233,4.762798636671228
symmetric,50,41,0.8798532166666664,2.7953925594121825,4.753160608927187
symmetric,50,201,0.8800586750000001,2.7943560350930117,4.749658622662497
symmetric,100,1,0.9006641533333303,2.879600386974634,4.605416854998191
symmetric,100,5,0.8938086050000001,2.818195051967783,4.625819521298839
symmetric,100,21,0.8880855933333327,2.7247618188825276,4.607110000644518
symmetric,100,41,0.888436938333334,2.7244488016004156,4.6033942150124005
symmetric,100,201,0.8881247716666645,2.7207062219201372,4.603623923589632
symmetric,200,1,0.9007701116666669,2.7996380129417138,4.537230727667149
symmetric,200,5,0.8958943683333358,2.75799702815158,4.5535463333533635
symmetric,200,21,0.8907110133333321,2.6841264881699143,4.546594692393904
symmetric,200,41,0.8919444366666683,2.697826486905952,4.545111778384229
symmetric,200,201,0.8917891733333321,2.6977826748566844,4.546804072576071
symmetric,500,1,0.9006782849999988,2.7495288405795604,4.496771791002669
symmetric,500,5,0.8995467433333348,2.743563813834716,4.503742514361376
symmetric,500,21,0.896124559999999,2.7063387047749434,4.508997728907101
symmetric,500,41,0.8957449383333304,2.7006466009280543,4.508314452710854
symmetric,500,201,0.8945768349999994,2.685616815622385,4.508035835178854
skewed,10,1,0.8183969383333328,2.480228099061195,4.866519247599096
skewed,10,5,0.8160828016666668,2.481208959412332,4.877705315314824
skewed,10,21,0.8174994783333333,2.47934992834254,4.859800114278115
skewed,10,41,0.820217588333334,2.469979467955073,4.832692691042003
skewed,10,201,0.8194882583333325,2.4811025291651365,4.8443953011885785
skewed,20,1,0.9071037700000002,3.396483898877845,4.8127772537296725
skewed,20,5,0.8541812216666684,1.980805577708378,4.447545001827377
skewed,20,21,0.8529075866666671,1.9642668896794784,4.432493129121672
skewed,20,41,0.8528482166666647,1.9662952231157975,4.4353363433092
skewed,20,201,0.8543260266666654,2.021071935267274,4.444143890501879
skewed,35,1,0.9437151583333342,4.250794647087082,5.20805609250332
skewed,35,5,0.8890410749999975,2.0208838712951342,4.235208493133339
skewed,35,21,0.8882914366666683,2.01303393562529,4.238721103147132
skewed,35,41,0.8879989716666643,1.9942179327246576,4.236260088643173
skewed,35,201,0.8890966583333317,2.008449495362622,4.240358568510065
skewed,50,1,0.9206464349999995,3.0650330474162972,4.347499619079003
skewed,50,5,0.882455619999998,1.756514883708567,4.290704884834682
skewed,50,21,0.880517031666667,1.743143270446278,4.303626898108608
skewed,50,41,0.8819090366666666,1.7479056803127526,4.293872191912757
skewed,50,201,0.8806471433333332,1.7410058010822491,4.311841761805779
skewed,100,1,0.9001485666666674,2.4658516651916482,4.038316302902747
skewed,100,5,0.8908684916666645,1.6985388245203614,4.273483157388984
skewed,100,21,0.8897020766666673,1.6905852253093985,4.283418775276381
skewed,100,41,0.8901132299999992,1.695222443028875,4.2813618625647205
skewed,100,201,0.890209224999998,1.6935939354856693,4.27663803952957
skewed,200,1,0.9004363499999993,2.389669269386369,3.9731581688773945
skewed,200,5,0.8943932383333341,1.6644743638683908,4.276406619953246
skewed,200,21,0.8945251966666675,1.6661430360210578,4.27091378165657
skewed,200,41,0.894143934999999,1.6642288549133675,4.275057046725216
skewed,200,201,0.8940585283333321,1.6625746367354715,4.274257985729547
skewed,500,1,0.8998304633333324,2.3394052517398642,3.9349686122812266
skewed,500,5,0.8972818916666679,1.6537941050854126,4.275493640943221
skewed,500,21,0.8972494649999999,1.6549262405366827,4.274790196918872
skewed,500,41,0.8976467883333341,1.6584030542464314,4.270388947239352
skewed,500,201,0.8968642866666685,1.6530996848064177,4.272838848875109
