application,method,coverage,min_season_cov,spread,width_mean,width_min,width_max,width_ratio,argmax_month,argmin_month
food,Pooled,0.8583333333333333,0.7,0.30000000000000004,1.8157090056368466,1.8068732058782921,1.8241859173722799,1.009581586266078,Mar,Nov
food,EnbPI-N,0.8666666666666667,0.6,0.4,2.0765061410806727,1.0711775589948136,3.1198975021669884,2.912586691131469,Jun,Feb
food,EnbPI-S,0.7916666666666666,0.6,0.30000000000000004,1.4404208526887652,1.0463906743502482,1.863714814133568,1.7810888990298328,Jun,Feb
food,Pooled-C,0.8666666666666667,0.8,0.19999999999999996,1.8710333755746473,1.862303791035544,1.8805243414778883,1.0097838765780596,Feb,Nov
food,EnbPI-N-C,0.875,0.6,0.4,2.1317730948898426,1.1018954320983698,3.195547839609465,2.900046362406726,Jun,Feb
food,EnbPI-S-C,0.825,0.7,0.20000000000000007,1.617624250680695,1.2495766295810138,2.0581473144424494,1.6470757100607358,Jun,Apr
exports,Pooled,0.9333333333333333,0.7,0.30000000000000004,10.162339392717005,10.120862140457032,10.224769055952342,1.0102666071381363,Jan,Dec
exports,EnbPI-N,0.9083333333333333,0.6,0.4,10.238337270549412,7.565335666326878,14.87721040125129,1.9664970673369306,Apr,Oct
exports,EnbPI-S,0.8666666666666667,0.7,0.30000000000000004,8.486216685121677,5.999609084464988,13.77613999715114,2.2961729344703827,Apr,Sep
exports,Pooled-C,0.925,0.7,0.30000000000000004,10.297846790209116,10.243154210437364,10.364705594117549,1.0118665970640497,Jan,Dec
exports,EnbPI-N-C,0.9083333333333333,0.6,0.4,10.430856092648128,7.700685739019578,15.162671490083477,1.9690027620856958,Apr,Oct
exports,EnbPI-S-C,0.8833333333333333,0.7,0.30000000000000004,10.055624354839091,6.766943209371429,14.921353606227612,2.205036032453069,Apr,Sep
