season,month,n_obs,coverage_p,width_p,coverage_s,width_s
1,Jan,10,0.6,0.7855666976395395,0.6,0.8860064059193457
2,Feb,10,0.8,0.7860281040185844,0.7,0.4239278093224642
3,Mar,10,0.7,0.7891329310258384,0.5,0.62413141151908
4,Apr,10,0.9,0.7902916018402012,0.7,0.6408111879390694
5,May,10,0.9,0.7941754487716133,0.6,0.5350619670601595
6,Jun,10,0.6,0.7892493024211996,0.7,0.8220945697780342
7,Jul,10,0.7,0.7850227501553011,0.7,0.9511727212441891
8,Aug,10,0.9,0.7881803574772167,0.8,0.4670748510992929
9,Sep,10,0.9,0.7885924354659128,0.9,0.7702818414568346
10,Oct,10,0.8,0.7833722218794963,0.7,0.8009333691492573
11,Nov,10,0.8,0.7815290679151017,0.7,0.6553772950593386
12,Dec,10,0.8,0.7843204187906418,0.7,0.50246605931316
