season,month,n,cov_pool,cov_strat,wid_pool,wid_strat
1,Jan,10,0.9,0.8,10.155684326577333,9.513651498283997
2,Feb,10,0.7,0.9,10.151160723541977,13.77613999715114
3,Mar,10,0.9,0.8,10.161928178574547,9.533245278064935
4,Apr,10,0.9,0.8,10.169585911448367,8.647770333034225
5,May,10,1.0,1.0,10.174065242915521,8.361959211637933
6,Jun,10,1.0,1.0,10.180327276550582,7.810000723111509
7,Jul,10,1.0,0.7,10.150088238737487,5.999609084464988
8,Aug,10,0.9,0.8,10.150088238737487,6.766508328664325
9,Sep,10,0.9,0.9,10.128705158179148,8.613775267960712
10,Oct,10,1.0,1.0,10.120862140457032,6.268718309047649
11,Nov,10,1.0,0.7,10.224769055952342,8.722071499925713
12,Dec,10,1.0,1.0,10.180808220932212,7.8211506901130035
