season,month,n,cov_pool,cov_strat,wid_pool,wid_strat
1,Jan,10,0.8,0.8,1.823770650593185,1.3604329465759597
2,Feb,10,1.0,0.7,1.8220024821341223,1.0463906743502482
3,Mar,10,0.8,0.8,1.8241859173722799,1.4623722087909552
4,Apr,10,1.0,0.9,1.816432273870311,1.2625488592630398
5,May,10,0.7,0.8,1.8182323933959452,1.5699345036972363
6,Jun,10,0.9,0.9,1.8143002400335178,1.863714814133568
7,Jul,10,0.8,0.6,1.8146471416308547,1.4985349300056636
8,Aug,10,0.9,0.7,1.8137024216827342,1.3936758571018164
9,Sep,10,0.9,0.9,1.8159318958318416,1.4982548472547936
10,Oct,10,0.9,0.9,1.8087476907645612,1.3439966551324993
11,Nov,10,0.8,0.7,1.8068732058782921,1.5370502249092586
12,Dec,10,0.8,0.8,1.8096817544545096,1.4481437110501472
