method,month,coverage,width
enbpis,1,0.8533333333333334,8.53459099458835
enbpis,2,0.8466666666666667,8.520154201468673
enbpis,3,0.8233333333333334,4.544770421577297
enbpis,4,0.8233333333333334,4.753497421812361
enbpis,5,0.84,4.257586970620751
enbpis,6,0.8333333333333334,4.414983374501482
enbpis,7,0.8833333333333333,4.495796667560434
enbpis,8,0.8866666666666667,9.002475020511882
enbpis,9,0.85,9.325579798463442
enbpis,10,0.8633333333333333,4.845921826054399
enbpis,11,0.8266666666666667,4.95232991733055
enbpis,12,0.89,4.606978909757676
garch_norm,1,0.8366666666666667,7.763208646414009
garch_norm,2,0.85,8.10069045843769
garch_norm,3,0.9533333333333334,7.931943180735308
garch_norm,4,0.9566666666666667,7.780991323231295
garch_norm,5,0.98,7.810343952443885
garch_norm,6,0.9666666666666667,7.717154704890268
garch_norm,7,0.98,7.769412710814818
garch_norm,8,0.8633333333333333,7.71645538009419
garch_norm,9,0.83,7.841648005572909
garch_norm,10,0.9233333333333333,7.833287970865397
garch_norm,11,0.9533333333333334,7.8913399173649275
garch_norm,12,0.96,7.8106572909710685
garch_t,1,0.7733333333333333,6.288916566906492
garch_t,2,0.7833333333333333,6.450115876853192
garch_t,3,0.93,6.38560210763065
garch_t,4,0.9366666666666666,6.29860358873829
garch_t,5,0.9566666666666667,6.3123096826903335
garch_t,6,0.95,6.2717501671437015
garch_t,7,0.9533333333333334,6.276876052383779
garch_t,8,0.7933333333333333,6.270815514570475
garch_t,9,0.7733333333333333,6.316198507011179
garch_t,10,0.92,6.333341924600607
garch_t,11,0.9266666666666666,6.376353226894602
garch_t,12,0.9466666666666667,6.293743186863829
pooled,1,0.8033333333333333,6.431195877369783
pooled,2,0.7833333333333333,6.433940620735038
pooled,3,0.9266666666666666,6.444995150456698
pooled,4,0.93,6.445965220653503
pooled,5,0.9533333333333334,6.448556179824087
pooled,6,0.95,6.448926191684996
pooled,7,0.9533333333333334,6.4488155113579015
pooled,8,0.8133333333333334,6.4358862440872295
pooled,9,0.7866666666666666,6.434988566467846
pooled,10,0.92,6.445021343792594
pooled,11,0.9333333333333333,6.445935025076712
pooled,12,0.95,6.446490465472453
